Overall Qual,Gr Liv Area,Lot Area,Kitchen Qual,Overall Cond,Exter Qual,Year Built,Total SF,Total Baths,SalePrice
7,1218,9605,4,6,4,2007,2436.0,1.5,11.976665770490767
7,2196,14684,4,7,4,1990,4354.0,2.0,12.513193308436527
6,1344,14375,4,6,3,1958,2163.0,1.5,11.83138646878959
9,1456,6472,5,5,5,2008,2907.0,2.0,12.423202148655593
7,1374,9734,4,5,4,2004,1758.0,2.5,12.025755079404917
5,1170,7315,3,6,3,1958,2340.0,1.5,11.849404844423074
5,1041,7350,3,6,3,1958,2082.0,1.0,11.759793355371237
7,1820,11050,4,5,3,1996,2730.0,2.5,12.269052139516223
5,892,7150,3,5,3,1967,1784.0,1.0,11.51293546492023
6,1574,18800,3,5,3,1976,2370.0,3.5,12.154784614286667
7,2200,14171,4,5,4,1993,3012.0,2.5,12.323860125621126
4,988,1596,3,6,3,1973,1450.0,2.0,11.460589521950299
7,1792,12435,4,5,4,2001,2755.0,2.5,12.352339472153524
6,1523,11361,3,5,3,1976,2716.0,2.5,12.100717685412471
9,2036,13438,5,5,5,2008,4226.0,3.0,12.923914877701906
6,1306,5122,4,5,4,2005,2612.0,3.0,12.12541016250223
5,1145,7700,3,7,3,1956,1446.0,1.0,11.751950239425476
5,1130,10800,3,6,3,1920,2250.0,2.0,11.695255355062795
6,1556,11700,3,6,3,1968,2283.0,1.5,11.944714374881176
6,1054,8800,4,7,3,1963,1990.0,2.0,11.83138646878959
4,1774,9600,3,2,3,1900,2869.0,3.0,11.373674891823535
5,1479,10544,3,5,3,1969,2343.0,2.0,11.989165855127435
4,520,6324,2,6,3,1927,1040.0,1.0,11.134603622683905
5,3086,21281,4,4,3,1935,3752.0,3.5,12.61686023076031
6,1494,15410,3,6,3,1974,2702.0,3.0,12.037659911047468
9,1884,15401,5,5,5,2004,3768.0,3.0,12.866182555987908
6,1367,6240,3,6,3,1931,2251.0,1.0,11.755879486687116
8,1852,9066,4,5,4,1999,2856.0,2.5,12.345838935721968
9,1686,7740,5,5,4,2006,3372.0,3.0,12.713495486391599
5,2337,13600,3,5,3,1900,2999.0,2.0,11.407576060361786
10,4316,21535,5,6,5,1994,6760.0,4.0,13.534474352733596
7,1456,11103,4,5,4,2006,2184.0,2.5,11.95655945119582
8,1914,13215,4,5,4,2004,3334.0,3.5,12.53897064502647
